cas_number,chemical_id,name,substance,other_name,brand,package_size,storage_location,molecular_weight,density (g/mL),state
57-11-4,395,Stearic Acid,硬脂酸,,adamas;安耐吉,5g;100g,1-4-2,284.48,0.845,solid
59-02-9,396,vitamin E,维生素E,,安耐吉,25g,3-2,430.71,0.95,liquid
60-12-8,397,Phenethyl alcohol,苯乙醇,,安耐吉,100ml;25ml,2-2,122.16,1.02,liquid
68-05-3,398,Tetraethylammonium iodide,四乙基碘化铵,,adamas,25g,7-2,257.16,1.559,solid
70-11-1,399,2-Bromoacetophenone,2-溴苯乙酮,,adamas,25g,2-3,199.04,1.476,solid
74-11-3,400,4-Chlorobenzoic acid,对氯苯甲酸,,adamas,25g,1-4-4,156.57,1.54,solid
75-03-6,401,Iodoethane,碘乙烷,,adamas,100g,R2,155.97,1.95,liquid
75-08-1,402,Ethanethiol,乙硫醇,,adamas,25g,R1,62.13,0.839,liquid
75-11-6,403,Diiodomethane,二碘甲烷,,adamas,25g,1-2-3,267.84,3.325,liquid
76-03-9,404,Trichloroacetic acid,三氯乙酸,,adamas,25g,1-4-1,163.39,1.62,solid
76-05-1,405,Trifluoroacetic acid,三氟乙酸 (TFA),,adamas,100g,1-4-1,114.02,1.489,liquid
76-09-5,406,Pinacol,频哪醇,,adamas,100g,2-2,118.17,0.967,solid
79-09-4,407,Propionic acid,丙酸,,安耐吉,100ml,1-5A,74.08,0.993,liquid
84-11-7,408,Phenanthrenequinone,菲醌,,adamas,25g,2-3,208.21,1.405,solid
88-05-1,409,"2,4,6-Trimethylaniline",均三甲苯胺,,adamas,25ml,3-5,135.21,0.963,liquid
90-02-8,410,Salicylaldehyde,水杨醛,,adamas,0,4-3,122.12,1.146,liquid
90-05-1,411,guaiacol,愈创木酚,,adamas,100g,4-3-2,124.14,1.129,solid
93-04-9,412,2-Methoxynaphthalene,2-萘甲醚,,adamas,25g,4-4,158.2,1.064,solid
93-09-4,413,2-Naphthoic acid,2-萘甲酸,,adamas,25g,,172.18,1.08,solid
93-10-7,414,Quinaldic acid,喹啉-2-甲酸,,adamas,5g,1-4-4,173.17,1.2427,solid
96-09-3,415,styrene oxide,氧化苯乙烯,,adamas,25ml,2-3-1,120.15,1.054,liquid
98-06-6,416,tert-Butylbenzene,叔丁基苯,,adamas,25g,"2-3,A",134.22,0.867,liquid
98-09-9,417,Benzenesulfonyl Chloride,苯磺酰氯,,安耐吉,100g,1-5-3,176.62,1.384,liquid
98-10-2,418,Benzenesulfonamide,苯磺酰胺,,adamas;安耐吉,25g,3-4,157.19,1.274,solid
